county,precinct,office,district,candidate,votes,party
Clark,Clark-4616 - LAS,U.S. House,4,"Brown, Steve",31,LPN
Clark,Clark-4616 - LAS,U.S. House,4,"Hardy, Cresent",61,REP
Clark,Clark-4616 - LAS,U.S. House,4,"KIHUEN, RUBEN",749,DEM
Clark,Clark-4616 - LAS,U.S. House,4,"LITTLE, MIKE",19,IAP
Clark,Clark-4616 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",757,DEM
Clark,Clark-4616 - LAS,U.S. Senate,,"GUMINA, TONY",0,
Clark,Clark-4616 - LAS,U.S. Senate,,"HECK, JOE",54,REP
Clark,Clark-4616 - LAS,U.S. Senate,,"JONES, TOM",9,IAP
Clark,Clark-4616 - LAS,U.S. Senate,,None Of These Candidates,39,
Clark,Clark-4616 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",11,
Clark,Clark-4616 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",11,
Clark,Clark-4621 - LAS,CLARK COUNTY QUESTION NO. 5,,No,336,
Clark,Clark-4621 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,514,
Clark,Clark-4621 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",409,
Clark,Clark-4621 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",413,
Clark,Clark-4621 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,167,
Clark,Clark-4621 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",566,
Clark,Clark-4621 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",558,
Clark,Clark-4621 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,181,
Clark,Clark-4621 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,167,
Clark,Clark-4621 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",568,
Clark,Clark-4621 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",194,
Clark,Clark-4621 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",490,
Clark,Clark-4621 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",470,
Clark,Clark-4621 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",220,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",213,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",485,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",356,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",333,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",292,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",382,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",450,
Clark,Clark-4621 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",213,
Clark,Clark-4621 - LAS,President,,"CASTLE, DARRELL",0,IAP
Clark,Clark-4621 - LAS,President,,"CLINTON, HILLARY",376,DEM
Clark,Clark-4621 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Clark,Clark-4621 - LAS,President,,"JOHNSON, GARY",22,LPN
Clark,Clark-4621 - LAS,President,,None Of These Candidates,23,
Clark,Clark-4621 - LAS,President,,"TRUMP, DONALD J.",451,REP
Clark,Clark-4621 - LAS,"State Assembly, District 10",,"Brooks, Chris",374,DEM
Clark,Clark-4621 - LAS,"State Assembly, District 10",,"Shelton, Shelly M.",455,REP
Clark,Clark-4621 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",260,
Clark,Clark-4621 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",354,
Clark,Clark-4621 - LAS,STATE QUESTION NO.1,,No,390,
Clark,Clark-4621 - LAS,STATE QUESTION NO.1,,Yes,476,
Clark,Clark-4621 - LAS,STATE QUESTION NO.2,,No,405,
Clark,Clark-4621 - LAS,STATE QUESTION NO.2,,Yes,460,
Clark,Clark-4621 - LAS,STATE QUESTION NO.3,,No,201,
Clark,Clark-4621 - LAS,STATE QUESTION NO.3,,Yes,655,
Clark,Clark-4621 - LAS,STATE QUESTION NO.4,,No,295,
Clark,Clark-4621 - LAS,STATE QUESTION NO.4,,Yes,547,
Clark,Clark-4621 - LAS,"State Senate, District 3",,"Friedrich, Jonathan",68,LPN
Clark,Clark-4621 - LAS,"State Senate, District 3",,"Palmerston, Dennis",374,REP
Clark,Clark-4621 - LAS,"State Senate, District 3",,"Segerblom, Tick""""",393,DEM
Clark,Clark-4621 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",569,
Clark,Clark-4621 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,177,
Clark,Clark-4621 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,172,
Clark,Clark-4621 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",572,
Clark,Clark-4621 - LAS,U.S. House,1,"Bakari, Kamau A.",10,IAP
Clark,Clark-4621 - LAS,U.S. House,1,"D'Silva, Reuben",39,
Clark,Clark-4621 - LAS,U.S. House,1,"Perry, Mary",412,REP
Clark,Clark-4621 - LAS,U.S. House,1,"Titus, Dina",387,DEM
Clark,Clark-4621 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",366,DEM
Clark,Clark-4621 - LAS,U.S. Senate,,"GUMINA, TONY",5,
Clark,Clark-4621 - LAS,U.S. Senate,,"HECK, JOE",461,REP
Clark,Clark-4621 - LAS,U.S. Senate,,"JONES, TOM",8,IAP
Clark,Clark-4621 - LAS,U.S. Senate,,None Of These Candidates,22,
Clark,Clark-4621 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",1,
Clark,Clark-4621 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",2,
Clark,Clark-4623 - LAS,CLARK COUNTY QUESTION NO. 5,,No,493,
Clark,Clark-4623 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,562,
Clark,Clark-4623 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",338,
Clark,Clark-4623 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",672,
Clark,Clark-4623 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,320,
Clark,Clark-4623 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",619,
Clark,Clark-4623 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",638,
Clark,Clark-4623 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,316,
Clark,Clark-4623 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,293,
Clark,Clark-4623 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",631,
Clark,Clark-4623 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",418,
Clark,Clark-4623 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",464,
Clark,Clark-4623 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",474,
Clark,Clark-4623 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",405,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",390,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",492,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",510,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",360,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",550,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",327,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",595,
Clark,Clark-4623 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",295,
Clark,Clark-4623 - LAS,President,,"CASTLE, DARRELL",9,IAP
Clark,Clark-4623 - LAS,President,,"CLINTON, HILLARY",648,DEM
Clark,Clark-4623 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",4,NPP
Clark,Clark-4623 - LAS,President,,"JOHNSON, GARY",37,LPN
Clark,Clark-4623 - LAS,President,,None Of These Candidates,31,
Clark,Clark-4623 - LAS,President,,"TRUMP, DONALD J.",341,REP
Clark,Clark-4623 - LAS,"State Assembly, District 10",,"Brooks, Chris",659,DEM
Clark,Clark-4623 - LAS,"State Assembly, District 10",,"Shelton, Shelly M.",353,REP
Clark,Clark-4623 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",449,
Clark,Clark-4623 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",393,
Clark,Clark-4623 - LAS,STATE QUESTION NO.1,,No,473,
Clark,Clark-4623 - LAS,STATE QUESTION NO.1,,Yes,593,
Clark,Clark-4623 - LAS,STATE QUESTION NO.2,,No,414,
Clark,Clark-4623 - LAS,STATE QUESTION NO.2,,Yes,650,
Clark,Clark-4623 - LAS,STATE QUESTION NO.3,,No,265,
Clark,Clark-4623 - LAS,STATE QUESTION NO.3,,Yes,784,
Clark,Clark-4623 - LAS,STATE QUESTION NO.4,,No,263,
Clark,Clark-4623 - LAS,STATE QUESTION NO.4,,Yes,773,
Clark,Clark-4623 - LAS,"State Senate, District 3",,"Friedrich, Jonathan",87,LPN
Clark,Clark-4623 - LAS,"State Senate, District 3",,"Palmerston, Dennis",305,REP
Clark,Clark-4623 - LAS,"State Senate, District 3",,"Segerblom, Tick""""",612,DEM
Clark,Clark-4623 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",625,
Clark,Clark-4623 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,315,
Clark,Clark-4623 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,324,
Clark,Clark-4623 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",622,
Clark,Clark-4623 - LAS,U.S. House,1,"Bakari, Kamau A.",16,IAP
Clark,Clark-4623 - LAS,U.S. House,1,"D'Silva, Reuben",68,
Clark,Clark-4623 - LAS,U.S. House,1,"Perry, Mary",300,REP
Clark,Clark-4623 - LAS,U.S. House,1,"Titus, Dina",659,DEM
Clark,Clark-4623 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",652,DEM
Clark,Clark-4623 - LAS,U.S. Senate,,"GUMINA, TONY",12,
Clark,Clark-4623 - LAS,U.S. Senate,,"HECK, JOE",299,REP
Clark,Clark-4623 - LAS,U.S. Senate,,"JONES, TOM",23,IAP
Clark,Clark-4623 - LAS,U.S. Senate,,None Of These Candidates,46,
Clark,Clark-4623 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",20,
Clark,Clark-4623 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",5,
Clark,Clark-4633 - LAS,CLARK COUNTY QUESTION NO. 5,,No,405,
Clark,Clark-4633 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,481,
Clark,Clark-4633 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",263,
Clark,Clark-4633 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",587,
Clark,Clark-4633 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,227,
Clark,Clark-4633 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",547,
Clark,Clark-4633 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",555,
Clark,Clark-4633 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,235,
Clark,Clark-4633 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,238,
Clark,Clark-4633 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",532,
Clark,Clark-4633 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",336,
Clark,Clark-4633 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",393,
Clark,Clark-4633 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",394,
Clark,Clark-4633 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",325,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",309,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",415,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",397,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",336,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",434,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",283,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",511,
Clark,Clark-4633 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",220,
Clark,Clark-4633 - LAS,President,,"CASTLE, DARRELL",3,IAP
Clark,Clark-4633 - LAS,President,,"CLINTON, HILLARY",547,DEM
Clark,Clark-4633 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",4,NPP
Clark,Clark-4633 - LAS,President,,"JOHNSON, GARY",29,LPN
Clark,Clark-4633 - LAS,President,,None Of These Candidates,20,
Clark,Clark-4633 - LAS,President,,"TRUMP, DONALD J.",304,REP
Clark,Clark-4633 - LAS,"State Assembly, District 10",,"Brooks, Chris",530,DEM
Clark,Clark-4633 - LAS,"State Assembly, District 10",,"Shelton, Shelly M.",322,REP
Clark,Clark-4633 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",333,
Clark,Clark-4633 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",383,
Clark,Clark-4633 - LAS,STATE QUESTION NO.1,,No,384,
Clark,Clark-4633 - LAS,STATE QUESTION NO.1,,Yes,511,
Clark,Clark-4633 - LAS,STATE QUESTION NO.2,,No,334,
Clark,Clark-4633 - LAS,STATE QUESTION NO.2,,Yes,563,
Clark,Clark-4633 - LAS,STATE QUESTION NO.3,,No,195,
Clark,Clark-4633 - LAS,STATE QUESTION NO.3,,Yes,689,
Clark,Clark-4633 - LAS,STATE QUESTION NO.4,,No,214,
Clark,Clark-4633 - LAS,STATE QUESTION NO.4,,Yes,653,
Clark,Clark-4633 - LAS,"State Senate, District 3",,"Friedrich, Jonathan",68,LPN
Clark,Clark-4633 - LAS,"State Senate, District 3",,"Palmerston, Dennis",258,REP
Clark,Clark-4633 - LAS,"State Senate, District 3",,"Segerblom, Tick""""",523,DEM
Clark,Clark-4633 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",523,
Clark,Clark-4633 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,259,
Clark,Clark-4633 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,254,
Clark,Clark-4633 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",536,
Clark,Clark-4633 - LAS,U.S. House,1,"Bakari, Kamau A.",10,IAP
Clark,Clark-4633 - LAS,U.S. House,1,"D'Silva, Reuben",65,
Clark,Clark-4633 - LAS,U.S. House,1,"Perry, Mary",265,REP
Clark,Clark-4633 - LAS,U.S. House,1,"Titus, Dina",531,DEM
Clark,Clark-4633 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",524,DEM
Clark,Clark-4633 - LAS,U.S. Senate,,"GUMINA, TONY",15,
Clark,Clark-4633 - LAS,U.S. Senate,,"HECK, JOE",274,REP
Clark,Clark-4633 - LAS,U.S. Senate,,"JONES, TOM",10,IAP
Clark,Clark-4633 - LAS,U.S. Senate,,None Of These Candidates,45,
Clark,Clark-4633 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",12,
Clark,Clark-4633 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",8,
Clark,Clark-4634 - LAS,CLARK COUNTY QUESTION NO. 5,,No,519,
Clark,Clark-4634 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,630,
Clark,Clark-4634 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",305,
Clark,Clark-4634 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",807,
Clark,Clark-4634 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,381,
Clark,Clark-4634 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",639,
Clark,Clark-4634 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",638,
Clark,Clark-4634 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,385,
Clark,Clark-4634 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,367,
Clark,Clark-4634 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",626,
Clark,Clark-4634 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",428,
Clark,Clark-4634 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",509,
Clark,Clark-4634 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",489,
Clark,Clark-4634 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",439,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",432,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",516,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",496,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",437,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",584,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",359,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",645,
Clark,Clark-4634 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",313,
Clark,Clark-4634 - LAS,President,,"CASTLE, DARRELL",4,IAP
Clark,Clark-4634 - LAS,President,,"CLINTON, HILLARY",799,DEM
Clark,Clark-4634 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",4,NPP
Clark,Clark-4634 - LAS,President,,"JOHNSON, GARY",27,LPN
Clark,Clark-4634 - LAS,President,,None Of These Candidates,21,
Clark,Clark-4634 - LAS,President,,"TRUMP, DONALD J.",333,REP
Clark,Clark-4634 - LAS,"State Assembly, District 6",,"Maffatt, Carlo",288,REP
Clark,Clark-4634 - LAS,"State Assembly, District 6",,"McCurdy, II, William",811,DEM
Clark,Clark-4634 - LAS,"State Board of Education, Dist. 1",,"Blakely, Robert",467,
Clark,Clark-4634 - LAS,"State Board of Education, Dist. 1",,"Hughes, Tim",442,
Clark,Clark-4634 - LAS,STATE QUESTION NO.1,,No,444,
Clark,Clark-4634 - LAS,STATE QUESTION NO.1,,Yes,722,
Clark,Clark-4634 - LAS,STATE QUESTION NO.2,,No,403,
Clark,Clark-4634 - LAS,STATE QUESTION NO.2,,Yes,766,
Clark,Clark-4634 - LAS,STATE QUESTION NO.3,,No,280,
Clark,Clark-4634 - LAS,STATE QUESTION NO.3,,Yes,863,
Clark,Clark-4634 - LAS,STATE QUESTION NO.4,,No,272,
Clark,Clark-4634 - LAS,STATE QUESTION NO.4,,Yes,862,
Clark,Clark-4634 - LAS,"State Senate, District 4",,"Atkinson, Kelvin",930,DEM
Clark,Clark-4634 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",619,
Clark,Clark-4634 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,408,
Clark,Clark-4634 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,401,
Clark,Clark-4634 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",625,
Clark,Clark-4634 - LAS,U.S. House,1,"Bakari, Kamau A.",31,IAP
Clark,Clark-4634 - LAS,U.S. House,1,"D'Silva, Reuben",90,
Clark,Clark-4634 - LAS,U.S. House,1,"Perry, Mary",268,REP
Clark,Clark-4634 - LAS,U.S. House,1,"Titus, Dina",755,DEM
Clark,Clark-4634 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",758,DEM
Clark,Clark-4634 - LAS,U.S. Senate,,"GUMINA, TONY",16,
Clark,Clark-4634 - LAS,U.S. Senate,,"HECK, JOE",282,REP
Clark,Clark-4634 - LAS,U.S. Senate,,"JONES, TOM",20,IAP
Clark,Clark-4634 - LAS,U.S. Senate,,None Of These Candidates,61,
Clark,Clark-4634 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",15,
Clark,Clark-4634 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",14,
Clark,Clark-4635 - LAS,CLARK COUNTY QUESTION NO. 5,,No,235,
Clark,Clark-4635 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,309,
Clark,Clark-4635 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",146,
Clark,Clark-4635 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",382,
Clark,Clark-4635 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,155,
Clark,Clark-4635 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",313,
Clark,Clark-4635 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",327,
Clark,Clark-4635 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,154,
Clark,Clark-4635 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,150,
Clark,Clark-4635 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",321,
Clark,Clark-4635 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",197,
Clark,Clark-4635 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",249,
Clark,Clark-4635 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",227,
Clark,Clark-4635 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",223,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",239,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",227,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",229,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",217,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",309,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",140,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",350,
Clark,Clark-4635 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",121,
Clark,Clark-4635 - LAS,President,,"CASTLE, DARRELL",1,IAP
Clark,Clark-4635 - LAS,President,,"CLINTON, HILLARY",359,DEM
Clark,Clark-4635 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Clark,Clark-4635 - LAS,President,,"JOHNSON, GARY",18,LPN
Clark,Clark-4635 - LAS,President,,None Of These Candidates,14,
Clark,Clark-4635 - LAS,President,,"TRUMP, DONALD J.",168,REP
Clark,Clark-4635 - LAS,"State Assembly, District 6",,"Maffatt, Carlo",144,REP
Clark,Clark-4635 - LAS,"State Assembly, District 6",,"McCurdy, II, William",373,DEM
Clark,Clark-4635 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",180,
Clark,Clark-4635 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",259,
Clark,Clark-4635 - LAS,STATE QUESTION NO.1,,No,219,
Clark,Clark-4635 - LAS,STATE QUESTION NO.1,,Yes,334,
Clark,Clark-4635 - LAS,STATE QUESTION NO.2,,No,215,
Clark,Clark-4635 - LAS,STATE QUESTION NO.2,,Yes,336,
Clark,Clark-4635 - LAS,STATE QUESTION NO.3,,No,133,
Clark,Clark-4635 - LAS,STATE QUESTION NO.3,,Yes,400,
Clark,Clark-4635 - LAS,STATE QUESTION NO.4,,No,139,
Clark,Clark-4635 - LAS,STATE QUESTION NO.4,,Yes,392,
Clark,Clark-4635 - LAS,"State Senate, District 4",,"Atkinson, Kelvin",438,DEM
Clark,Clark-4635 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",302,
Clark,Clark-4635 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,168,
Clark,Clark-4635 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,169,
Clark,Clark-4635 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",304,
Clark,Clark-4635 - LAS,U.S. House,4,"Brown, Steve",23,LPN
Clark,Clark-4635 - LAS,U.S. House,4,"Hardy, Cresent",147,REP
Clark,Clark-4635 - LAS,U.S. House,4,"KIHUEN, RUBEN",353,DEM
Clark,Clark-4635 - LAS,U.S. House,4,"LITTLE, MIKE",15,IAP
Clark,Clark-4635 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",357,DEM
Clark,Clark-4635 - LAS,U.S. Senate,,"GUMINA, TONY",2,
Clark,Clark-4635 - LAS,U.S. Senate,,"HECK, JOE",131,REP
Clark,Clark-4635 - LAS,U.S. Senate,,"JONES, TOM",14,IAP
Clark,Clark-4635 - LAS,U.S. Senate,,None Of These Candidates,27,
Clark,Clark-4635 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",16,
Clark,Clark-4635 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",7,
Clark,Clark-4636 - LAS,CLARK COUNTY QUESTION NO. 5,,No,0,
Clark,Clark-4636 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,0,
Clark,Clark-4636 - LAS,County Commissioner Dist. D,,"Osnaya, Anthony",0,
Clark,Clark-4636 - LAS,County Commissioner Dist. D,,"Weekly, Jr., Lawrence",0,
Clark,Clark-4636 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Clark,Clark-4636 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Clark,Clark-4636 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Clark,Clark-4636 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Clark,Clark-4636 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Clark,Clark-4636 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
