"Jurisdiction","Precinct","Race","Candidate","Votes"
"Clark","6547","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","871"
"Clark","6547","President and Vice President of the United States","Trump, Donald J. and Vance, JD","826"
"Clark","6547","State Assembly, District 35","WAHAB, SHARIFA","866"
"Clark","6552","State Board of Education, District 1","BRAXTON, TRICIA","327"
"Clark","6552","United States Senator","BROWN, SAM","413"
"Clark","6552","Supreme Court Justice, Seat C","CADISH, ELISSA","421"
"Clark","6552","School Board Trustee, District A","CATARATA, KARL","242"
"Clark","6552","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","172"
"Clark","6552","United States Senator","Cunningham, Chris","16"
"Clark","6552","Justice of the Peace, Henderson Township, Department 1","DIGIACOMO, SANDY ALLRED","366"
"Clark","6552","State Assembly, District 23","GALLANT, DANIELLE","569"
"Clark","6552","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","297"
"Clark","6552","U.S. Representative in Congress, District 1","GOOSSEN, DAVID","6"
"Clark","6552","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","503"
"Clark","6552","United States Senator","Hansen, JANINE","9"
"Clark","6552","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","347"
"Clark","6552","U.S. Representative in Congress, District 1","HAVLICEK, DAVID","9"
"Clark","6552","U.S. Representative in Congress, District 1","HOGE, WILLIAM","10"
"Clark","6552","Henderson, City Council, Ward II","LARSON, MONICA ""Doc""","375"
"Clark","6552","Supreme Court Justice, Seat F","Lee, Patty","443"
"Clark","6552","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","232"
"Clark","6552","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","277"
"Clark","6552","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","496"
"Clark","6552","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","139"
"Clark","6552","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","277"
"Clark","6552","Supreme Court Justice, Seat C","None Of These Candidates","222"
"Clark","6552","United States Senator","None Of These Candidates","13"
"Clark","6552","Supreme Court Justice, Seat F","None Of These Candidates","203"
"Clark","6552","President and Vice President of the United States","None Of These Candidates","7"
"Clark","6552","Supreme Court Justice, Seat G","None Of These Candidates","207"
"Clark","6552","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","6"
"Clark","6552","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","539"
"Clark","6552","U.S. Representative in Congress, District 1","QUINCE, RON ""Ron Q.""","10"
"Clark","6552","Justice of the Peace, Henderson Township, Department 1","RENTERIA, MARLA","222"
"Clark","6552","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","507"
"Clark","6552","U.S. Representative in Congress, District 1","ROBERTSON, MARK","416"
"Clark","6552","United States Senator","ROSEN, JACKY S.","348"
"Clark","6552","Henderson, City Council, Ward II","SHAW, DAN K.","243"
"Clark","6552","President and Vice President of the United States","Skousen, Joel and Combs, Rik","2"
"Clark","6552","School Board Trustee, District A","STEVENS, EMILY","344"
"Clark","6552","Supreme Court Justice, Seat G","STIGLICH, LIDIA","425"
"Clark","6552","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","361"
"Clark","6552","U.S. Representative in Congress, District 1","Titus, Dina","331"
"Clark","6552","President and Vice President of the United States","Trump, Donald J. and Vance, JD","449"
"Clark","6552","State Board of Education, District 1","UNDERWOOD, TIM","250"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","309"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","548"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","602"
"Clark","6600","United States Senator","BROWN, SAM","838"
"Clark","6600","Supreme Court Justice, Seat C","CADISH, ELISSA","912"
"Clark","6600","State Board of Education, District 3","CANTU, RENE","581"
"Clark","6600","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","322"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","591"
"Clark","6600","United States Senator","Cunningham, Chris","19"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","567"
"Clark","6600","State Assembly, District 35","EDGEWORTH, REBECCA","917"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","631"
"Clark","6600","State Board of Education, District 3","FORD, DANIELLE","608"
"Clark","6600","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","577"
"Clark","6600","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1133"
"Clark","6600","United States Senator","Hansen, JANINE","14"
"Clark","6600","State Senate, District 11","HARRIS, DALLAS","657"
"Clark","6600","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","708"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","165"
"Clark","6600","U.S. Representative in Congress, District 3","JOHNSON, Drew","877"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","263"
"Clark","6600","Supreme Court Justice, Seat F","Lee, Patty","902"
"Clark","6600","U.S. Representative in Congress, District 3","Lee, Susie","706"
"Clark","6600","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","455"
"Clark","6600","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","606"
"Clark","6600","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1083"
"Clark","6600","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","298"
"Clark","6600","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","580"
"Clark","6600","United States Senator","None Of These Candidates","33"
"Clark","6600","Supreme Court Justice, Seat G","None Of These Candidates","382"
"Clark","6600","Supreme Court Justice, Seat C","None Of These Candidates","400"
"Clark","6600","Supreme Court Justice, Seat F","None Of These Candidates","400"
"Clark","6600","President and Vice President of the United States","None Of These Candidates","24"
"Clark","6600","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","3"
"Clark","6600","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1135"
"Clark","6600","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1112"
"Clark","6600","State Senate, District 11","ROGICH, LORI","902"
"Clark","6600","United States Senator","ROSEN, JACKY S.","708"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","573"
"Clark","6600","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","259"
"Clark","6600","Supreme Court Justice, Seat G","STIGLICH, LIDIA","905"
"Clark","6600","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","188"
"Clark","6600","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","734"
"Clark","6600","President and Vice President of the United States","Trump, Donald J. and Vance, JD","909"
"Clark","6600","State Assembly, District 35","WAHAB, SHARIFA","627"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","450"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","907"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","1080"
"Clark","6609","United States Senator","BROWN, SAM","1051"
"Clark","6609","Supreme Court Justice, Seat C","CADISH, ELISSA","1458"
"Clark","6609","State Board of Education, District 3","CANTU, RENE","835"
"Clark","6609","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","484"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","868"
"Clark","6609","United States Senator","Cunningham, Chris","24"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","960"
"Clark","6609","State Assembly, District 35","EDGEWORTH, REBECCA","1206"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","943"
"Clark","6609","State Board of Education, District 3","FORD, DANIELLE","1031"
"Clark","6609","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","835"
"Clark","6609","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1798"
"Clark","6609","United States Senator","Hansen, JANINE","37"
"Clark","6609","State Senate, District 11","HARRIS, DALLAS","1196"
"Clark","6609","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1235"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","239"
"Clark","6609","U.S. Representative in Congress, District 3","JOHNSON, Drew","1120"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","465"
"Clark","6609","Supreme Court Justice, Seat F","Lee, Patty","1470"
"Clark","6609","U.S. Representative in Congress, District 3","Lee, Susie","1282"
"Clark","6609","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","691"
"Clark","6609","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","1045"
"Clark","6609","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1741"
"Clark","6609","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","539"
"Clark","6609","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","890"
"Clark","6609","United States Senator","None Of These Candidates","74"
"Clark","6609","President and Vice President of the United States","None Of These Candidates","30"
"Clark","6609","Supreme Court Justice, Seat C","None Of These Candidates","652"
"Clark","6609","Supreme Court Justice, Seat G","None Of These Candidates","609"
"Clark","6609","Supreme Court Justice, Seat F","None Of These Candidates","644"
"Clark","6609","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","9"
"Clark","6609","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1829"
"Clark","6609","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1765"
"Clark","6609","State Senate, District 11","ROGICH, LORI","1164"
"Clark","6609","United States Senator","ROSEN, JACKY S.","1245"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","778"
"Clark","6609","President and Vice President of the United States","Skousen, Joel and Combs, Rik","2"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","439"
"Clark","6609","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1464"
"Clark","6609","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","266"
"Clark","6609","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","1234"
"Clark","6609","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1199"
"Clark","6609","State Assembly, District 35","WAHAB, SHARIFA","1150"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","537"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","820"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","804"
"Clark","6610","United States Senator","BROWN, SAM","1374"
"Clark","6610","Supreme Court Justice, Seat C","CADISH, ELISSA","1335"
"Clark","6610","State Board of Education, District 3","CANTU, RENE","821"
"Clark","6610","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","483"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","864"
"Clark","6610","United States Senator","Cunningham, Chris","20"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","829"
"Clark","6610","State Assembly, District 35","EDGEWORTH, REBECCA","1537"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","893"
"Clark","6610","State Board of Education, District 3","FORD, DANIELLE","883"
"Clark","6610","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","895"
"Clark","6610","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1601"
"Clark","6610","United States Senator","Hansen, JANINE","15"
"Clark","6610","State Senate, District 11","HARRIS, DALLAS","913"
"Clark","6610","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1014"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","228"
"Clark","6610","U.S. Representative in Congress, District 3","JOHNSON, Drew","1434"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","428"
"Clark","6610","Supreme Court Justice, Seat F","Lee, Patty","1339"
"Clark","6610","U.S. Representative in Congress, District 3","Lee, Susie","1015"
"Clark","6610","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","696"
"Clark","6610","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","839"
"Clark","6610","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1591"
"Clark","6610","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","404"
"Clark","6610","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","875"
"Clark","6610","President and Vice President of the United States","None Of These Candidates","34"
"Clark","6610","Supreme Court Justice, Seat F","None Of These Candidates","653"
"Clark","6610","Supreme Court Justice, Seat G","None Of These Candidates","572"
"Clark","6610","United States Senator","None Of These Candidates","53"
"Clark","6610","Supreme Court Justice, Seat C","None Of These Candidates","661"
"Clark","6610","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","5"
"Clark","6610","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1664"
"Clark","6610","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1623"
"Clark","6610","State Senate, District 11","ROGICH, LORI","1504"
"Clark","6610","United States Senator","ROSEN, JACKY S.","1025"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","898"
"Clark","6610","President and Vice President of the United States","Skousen, Joel and Combs, Rik","2"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","351"
"Clark","6610","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1365"
"Clark","6610","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","201"
"Clark","6610","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","1093"
"Clark","6610","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1477"
"Clark","6610","State Assembly, District 35","WAHAB, SHARIFA","862"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","439"
"Clark","6625","City of Las Vegas, Mayor","BERKLEY, SHELLEY","643"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","562"
"Clark","6625","School Board Trustee, District E","BIASSOTTI, LORENA","707"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","475"
"Clark","6625","United States Senator","BROWN, SAM","780"
"Clark","6625","School Board Trustee, District E","BYWATERS, KAMILAH","411"
"Clark","6625","Supreme Court Justice, Seat C","CADISH, ELISSA","846"
"Clark","6625","State Board of Education, District 3","CANTU, RENE","550"
"Clark","6625","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","371"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","571"
"Clark","6625","United States Senator","Cunningham, Chris","14"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","543"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","567"
"Clark","6625","State Board of Education, District 3","FORD, DANIELLE","538"
"Clark","6625","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","607"
"Clark","6625","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","986"
"Clark","6625","United States Senator","Hansen, JANINE","22"
"Clark","6625","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","652"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","197"
"Clark","6625","State Senate, District 3","HOWARD, BRENT","761"
"Clark","6625","U.S. Representative in Congress, District 3","JOHNSON, Drew","793"
"Clark","6625","State Senate, District 3","JONES, KEYA ""KJ""","43"
"Clark","6625","State Assembly, District 10","KARRIS, VENISE L.","659"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","250"
"Clark","6625","Supreme Court Justice, Seat F","Lee, Patty","848"
"Clark","6625","U.S. Representative in Congress, District 3","Lee, Susie","660"
"Clark","6625","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","414"
"Clark","6625","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","507"
"Clark","6625","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","987"
"Clark","6625","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","255"
"Clark","6625","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","512"
"Clark","6625","State Assembly, District 10","MOORE, SEAN","630"
"Clark","6625","State Senate, District 3","NGUYEN, ROCHELLE","627"
"Clark","6625","Supreme Court Justice, Seat F","None Of These Candidates","346"
"Clark","6625","United States Senator","None Of These Candidates","25"
"Clark","6625","President and Vice President of the United States","None Of These Candidates","19"
"Clark","6625","Supreme Court Justice, Seat G","None Of These Candidates","318"
"Clark","6625","Supreme Court Justice, Seat C","None Of These Candidates","353"
"Clark","6625","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","4"
"Clark","6625","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1031"
"Clark","6625","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1003"
"Clark","6625","United States Senator","ROSEN, JACKY S.","641"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","653"
"Clark","6625","City of Las Vegas, Mayor","SEAMAN, VICTORIA","641"
"Clark","6625","President and Vice President of the United States","Skousen, Joel and Combs, Rik","2"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","178"
"Clark","6625","Supreme Court Justice, Seat G","STIGLICH, LIDIA","862"
"Clark","6625","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","99"
"Clark","6625","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","729"
"Clark","6625","President and Vice President of the United States","Trump, Donald J. and Vance, JD","819"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","241"
"Clark","6632","City of Las Vegas, Mayor","BERKLEY, SHELLEY","450"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","349"
"Clark","6632","School Board Trustee, District E","BIASSOTTI, LORENA","400"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","327"
"Clark","6632","United States Senator","BROWN, SAM","426"
"Clark","6632","School Board Trustee, District E","BYWATERS, KAMILAH","298"
"Clark","6632","Supreme Court Justice, Seat C","CADISH, ELISSA","525"
"Clark","6632","State Board of Education, District 3","CANTU, RENE","309"
"Clark","6632","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","223"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","313"
"Clark","6632","United States Senator","Cunningham, Chris","10"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","349"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","336"
"Clark","6632","State Board of Education, District 3","FORD, DANIELLE","365"
"Clark","6632","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","365"
"Clark","6632","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","615"
"Clark","6632","United States Senator","Hansen, JANINE","11"
"Clark","6632","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","459"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","107"
"Clark","6632","State Senate, District 3","HOWARD, BRENT","426"
"Clark","6632","U.S. Representative in Congress, District 3","JOHNSON, Drew","438"
"Clark","6632","State Senate, District 3","JONES, KEYA ""KJ""","25"
"Clark","6632","State Assembly, District 10","KARRIS, VENISE L.","456"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","145"
"Clark","6632","Supreme Court Justice, Seat F","Lee, Patty","527"
"Clark","6632","U.S. Representative in Congress, District 3","Lee, Susie","468"
"Clark","6632","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","258"
"Clark","6632","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","325"
"Clark","6632","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","610"
"Clark","6632","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","172"
"Clark","6632","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","308"
"Clark","6632","State Assembly, District 10","MOORE, SEAN","336"
"Clark","6632","State Senate, District 3","NGUYEN, ROCHELLE","436"
"Clark","6632","Supreme Court Justice, Seat G","None Of These Candidates","218"
"Clark","6632","Supreme Court Justice, Seat C","None Of These Candidates","217"
"Clark","6632","President and Vice President of the United States","None Of These Candidates","15"
"Clark","6632","United States Senator","None Of These Candidates","25"
"Clark","6632","Supreme Court Justice, Seat F","None Of These Candidates","215"
"Clark","6632","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","2"
"Clark","6632","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","654"
"Clark","6632","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","618"
"Clark","6632","United States Senator","ROSEN, JACKY S.","452"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","366"
"Clark","6632","City of Las Vegas, Mayor","SEAMAN, VICTORIA","378"
"Clark","6632","President and Vice President of the United States","Skousen, Joel and Combs, Rik","1"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","145"
"Clark","6632","Supreme Court Justice, Seat G","STIGLICH, LIDIA","517"
"Clark","6632","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","81"
"Clark","6632","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","451"
"Clark","6632","President and Vice President of the United States","Trump, Donald J. and Vance, JD","466"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","491"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","1005"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","1173"
"Clark","6648","United States Senator","BROWN, SAM","1097"
"Clark","6648","Supreme Court Justice, Seat C","CADISH, ELISSA","1601"
"Clark","6648","State Board of Education, District 3","CANTU, RENE","940"
"Clark","6648","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","533"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","998"
"Clark","6648","United States Senator","Cunningham, Chris","52"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","1036"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","1033"
"Clark","6648","State Board of Education, District 3","FORD, DANIELLE","1117"
"Clark","6648","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","880"
"Clark","6648","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1933"
"Clark","6648","United States Senator","Hansen, JANINE","28"
"Clark","6648","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1424"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","263"
"Clark","6648","U.S. Representative in Congress, District 3","JOHNSON, Drew","1170"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","535"
"Clark","6648","Supreme Court Justice, Seat F","Lee, Patty","1605"
"Clark","6648","U.S. Representative in Congress, District 3","Lee, Susie","1459"
"Clark","6648","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","744"
"Clark","6648","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","1164"
"Clark","6648","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1944"
"Clark","6648","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","558"
"Clark","6648","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","995"
"Clark","6648","State Assembly, District  9","NEELY, ERICA A.","1143"
"Clark","6648","Supreme Court Justice, Seat C","None Of These Candidates","706"
"Clark","6648","United States Senator","None Of These Candidates","98"
"Clark","6648","Supreme Court Justice, Seat G","None Of These Candidates","680"
"Clark","6648","Supreme Court Justice, Seat F","None Of These Candidates","688"
"Clark","6648","President and Vice President of the United States","None Of These Candidates","35"
"Clark","6648","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","14"
"Clark","6648","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","2091"
"Clark","6648","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1938"
"Clark","6648","United States Senator","ROSEN, JACKY S.","1389"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","854"
"Clark","6648","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","484"
"Clark","6648","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1614"
"Clark","6648","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","271"
"Clark","6648","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","1351"
"Clark","6648","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1235"
"Clark","6648","State Assembly, District  9","Yeager, Steve","1401"
"Clark","6652","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","379"
"Clark","6652","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","618"
"Clark","6652","School Board Trustee, District E","BIASSOTTI, LORENA","744"
"Clark","6652","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","630"
"Clark","6652","United States Senator","BROWN, SAM","881"
"Clark","6652","School Board Trustee, District E","BYWATERS, KAMILAH","590"
"Clark","6652","Supreme Court Justice, Seat C","CADISH, ELISSA","1068"
"Clark","6652","State Board of Education, District 3","CANTU, RENE","656"
"Clark","6652","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","439"
"Clark","6652","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","691"
"Clark","6652","United States Senator","Cunningham, Chris","26"
"Clark","6652","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","636"
"Clark","6652","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","717"
"Clark","6652","State Board of Education, District 3","FORD, DANIELLE","674"
"Clark","6652","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","685"
